'Oumuamua	奥陌陌
energy of nucleus	核能
energy of position	位能
energy of rotation	转动能
energy of vibration	振动能
energy range	能幅
energy release	能量释放
energy source	能源
energy spectral density	能谱密度
energy spectrum	能谱
energy state	能态
energy storage	能量储存
energy transfer	能量转移
energy transfer time	能量转移时间
energy transport	能量输运
energy trap	能量[陷]阱
energy-driven wind	能量驱动风
energy-flux density	能流密度
energy-level diagram	能级图
energy-momentum tensor	能动张量
enhanced emission	增强发射
enhanced line	增强谱线
enhanced network	增强网络
enhanced radiation	增强辐射
enlarger	放大机
enregistreur des vitesses	分光速度记录仪
ensemble	系综
ensemble average	集平均
ensemble of electrons	电子集
enstatite	顽辉石
enstatite chondrite	顽辉球粒陨石
enthalpy	热函; 焓
entrance pupil	入射光瞳
entrapment	俘获
entropy bound	熵限
entropy density	熵密度
entropy equation	熵方程
entropy perturbation	熵扰动
entropy wave	熵波
envelope	包层; 包络
envelope pattern	包络方向图
envelope star	气壳星
epact	闰余; 岁首月龄
epagomenal day	闰日
ephemeral active region	瞬现区; 瞬现活动区
ephemeral region	瞬现区; 瞬现活动区
ephemeris	1、历表; 2、星历表
ephemeris day	历书日
ephemeris hour angle	历书时角
ephemeris longitude	历书经度
ephemeris meridian	历书子午线
ephemeris reference frame	缩写：ERF。历书参考系
ephemeris second	历书秒
ephemeris sidereal time	历书恒星时
ephemeris time	缩写：ET。历书时
ephemeris transit	历书中天
ephemerist	制历者
epicenter	本轮中心; 震中
epicycle	本轮
epicycle energy	本轮能量
epicycle oscillation	本轮振荡
epicycle theory	本轮说
epicyclic approximation	本轮近似
epicyclic frequency	本轮频率
epicyclic motion	本轮运动
epicyclic orbit	本轮轨道
epiplasma	超等离子体
epoch	历元; 时期
epoch of matter-radiation equality	物质-辐射等密度时期
epoch of neutralization	中和纪
epoch of observation	观测历元
epoch of orientation	定向历元
epoch of place	位置历元
epoch of reionization	缩写：EoR。再电离时期
equal altitude circle	等高圈
equal altitude method	等高法
equal brightness photometer	等亮度光度计
equality-of-contrast photometer	等反差光度计
equantequation	均衡点; 均衡法
equation clock	时差钟
equation of equal altitude	等高差
equation of equipartition time	均时差
equation of light	光行时差
equation of motion	运动方程
equation of radiative transfer	辐射转移方程
equation of state	缩写：EoS。物态方程
equation of the center	中心差
equation of the equinoxes	二分差
equation of the origins	零点差
equation of time	时差
equator	赤道
equator correction	赤道改正
equator determination	赤道测定
equator of date	瞬时赤道
equator of epoch	历元赤道
equator of illumination	照明赤道
equator of position	位置赤道
equator ring	赤道环
equatorial acceleration	赤道加速度
equatorial armillary sphere	赤道经纬仪
equatorial band	赤道带
equatorial bulge	赤道隆起
equatorial circumference	赤道圈
equatorial colure	二分圈
equatorial coordinate	赤道坐标
equatorial coordinate system	赤道坐标系
equatorial diameter	赤道直径
equatorial ejection	赤道抛射
equatorial horizontal parallax	赤道地平视差
equatorial instrument	赤道仪
equatorial line	赤道线
equatorial lodge degrees	入宿度
equatorial mounting	赤道装置
equatorial orbit	赤道轨道
equatorial parallax	赤道视差
equatorial plane	赤道面
equatorial prominence	赤道日珥
equatorial radius	赤道半径
equatorial rectangular coordinate	赤道直角坐标
equatorial rotational velocity	赤道自转速度
equatorial satellite	赤道卫星
equatorial sundial	赤道日晷
equatorial system	赤道坐标系
equatorial system of coordinate	赤道坐标系
equatorial telescope	赤道仪
equatorial zone	赤道带
equatorium	行星定位仪
equiareal mapping	保积映射
equidensite	等密度线
equidensitometry	等密度测量
equidistance motion	等距运动
equilateral point	等边点
equilateral triangle point	等边三角形点
equilibrium	平衡
equilibrium condition	平衡条件
equilibrium distribution	平衡分布
equilibrium figure	平衡形态
equilibrium point	平衡点
equilibrium position	平衡位置
equilibrium radiation	平衡辐射
equilibrium ratio	平衡比率
equilibrium solution	平衡解
equilibrium state	平衡态
equilibrium temperature	平衡温度
equilibrium tide	平衡潮
equinoctial	天赤道
equinoctial colure	二分圈
equinoctial day	恒星日
equinoctial element	分点根数
equinoctial points	二分点
equinoctial system of coordinate	分至坐标系
equinoctial year	分至年
equinox	分点
equinox correction	春分点改正
equinox motion	春分点运动
equinox position	春分点位置
equinoxes	二分点
equipartition	均分
equipartition instability	能均分不稳定性
equipartition of energy	能量均分
equipartition of kinetic energy	动能均分
equipartition parameter	均分参数
equipartition time	均分时间
equipotential surface	等势面; 等位面
equivalence principle	等效原理
equivalent antenna	等效天线
equivalent breadth	等值宽度
equivalent collecting area	等效面积
equivalent focal distance	等值焦距
equivalent focal length	等值焦距
equivalent focus	等值焦点
equivalent pendulum	等值摆
equivalent principle	等效原理
equivalent temperature	等效温度
equivalent thickness	等值厚度
equivalent width	等值宽度
era	纪元; 时代
era divisor	纪法
erbium	缩写：Er。铒
erect image	正像
erecting eyepiece	正像目镜
erecting prism	正像棱镜
ergodic density fields	各态历经密度场
ergodic hypothesis	遍历假说
ergodic motion	遍历运动
ergodic theorem	各态历经定理
ergodicity	遍历
ergoregion	能层
ergosphere	能层
ergosphere effect	能层效应
erosion	侵蚀
erosive collision	侵蚀性碰撞
error accumulation	误差累积
error analysis	误差分析
error bar	误差棒
error beam	误差波束
error box	误差框
error distribution	误差分布
error ellipse	误差椭圆
error estimate	误差估计
error function	误差函数
error in pointing	指向误差
error of tilt	倾斜误差
error pattern	误差方向图
error propagation	误差传播
eruption	爆发
eruptive arch	爆发拱
eruptive binary	爆发双星
eruptive center	爆发中心
eruptive flare	爆发耀斑
eruptive galaxy	爆发星系
eruptive period	爆发周期
eruptive prominence	爆发日珥
eruptive solar flare	爆发耀斑
eruptive star	爆发星
eruptive variable	爆发变星
escape cone	逃逸锥
escape energy	逃逸能量
escape speed	逃逸速度
escape speed surface	逃逸速度面
escape trajectory	逸离轨道
escape velocity	逃逸速度
escapement	擒纵系统
essentially singular point	本性奇点
establishment of the port	潮候时差
estimated accuracy	估计精度
estimation	估计
estimation theory	估计理论
etalon	标准; 校准器
etalon frequency	标准频率
etalon time	标准时
etendue	集光率
eternal inflation	永恒暴胀
ethane	乙烷
ethanol	乙醇
ether	以太
ethereal ring	薄环
ethyl alcohol	乙醇
ethyl cyanide	丙腈
ethylene	乙烯
ethynyl radical	乙炔基
eucrite	钙长辉长无球粒陨石
europium	缩写：Eu。铕
evaluable primary frequency standard	可计值原始频标
evanescent wave	瞬即消失波
evaporating gaseous globule	缩写：EGG。蒸发气态球状体
evaporation of the black hole	黑洞蒸发
evaporation rate	蒸发率
evaporation time	蒸发时标
evection	出差
evection in latitude	黄纬出差
even coupling	偶耦合
even cycle	偶数周
even state	偶态
even-even nuclei	偶-偶核
even-odd nuclei	偶-奇核
evening glow	暮辉
evening group	昏星组
evening star	昏星
evening twilight	暮光
event horizon	事件视界
evolution diagram	演化图
evolution mass	演化质量
evolution of clustering	成团性演化
evolution of luminosity function	光度函数演化
evolutionary age	演化年龄
evolutionary cosmology	演化宇宙学
evolutionary mass	演化质量
evolutionary phase	演化阶段
evolutionary stage	演化期
evolutionary state	演化态
evolutionary time	演化时间
evolutionary time-scale	演化时标
evolutionary track	演化程
evolved object	晚期演化天体
evolved star	主序后星
evolving magnetic feature	缩写：EMF。演化磁特征
evolving object	早期演化天体
evolving star	零龄主序前星
ex-nova	爆后新星
ex-supernova	爆后超新星
excess absorption	过剩吸收
excess density	密度超
excess emission	过剩发射
excess energy	过剩能量
excess noise temperature	过剩噪声温度
excess redshift	剩余红移
excessive star	超星
exchange correlation	交换相关
exchange energy	交换能
exchange of mass	质量交换
excitation cross-section	激发截面
excitation energy	激发能
excitation mechanism	激发机制
excitation of turbulence	湍动激发
excitation potential	激发势
excitation temperature	激发温度
excited atom	受激原子
excited level	激发能级
excited nebula	受激星云
excited object	受激天体
excited star	受激星
excited state	受激态; 激发态
exciting collision	激发碰撞
exciting object	激发天体
exciting star	激发星
exciton	激子
exclusion energy	不相容能量
exclusion principle	不相容原理
excursion set	漫游集
excursion set model	漫游集模型
exfoliation	剥落
exhaust velocity	排气速度
exit cone	出射锥
exit pupil	出射光瞳
exmeridian altitude	近子午线高度
exmeridian observation	近子午线观测
exo-Earth	地球型系外行星
exo-Jupiter	系外类木行星
exo-asteroid belt	[太阳]系外小行星带
exo-solar wind	[太阳]系外星风
exobase	外大气层底
exobiology	地外生物学
exocomet	1、[太阳]系外彗星; 2、外星彗星
exoergic process	放能过程
exogenic force	外力
exomoon	系外卫星
exoplanet	系外行星
exoplanet system	系外行星系
exoplanet transit	系外行星凌星
exosphere	外[逸]层; 外大气层
exothermic process	产热过程
exothermic reaction	产热反应
exotic comet	1、[太阳]系外彗星; 2、外星彗星
exotic particle	奇异粒子
exotic planet	系外行星
exotic star	奇异星
exozodiacal dust	外星黄道尘
expanding arm	膨胀臂
expanding disk	膨胀盘
expanding envelope	膨胀包层
expanding model	膨胀模型
expanding nebula	膨胀星云
expanding phase	膨胀相
expanding plasmon	膨胀等离子体激元
expanding ring	膨胀环
expanding shell	膨胀壳
expanding universe	膨胀宇宙
expansion age	膨胀年龄
expansion coefficient	膨胀系数
expansion lag	滞涨
expansion of the universe	宇宙膨胀
expansion parameter	膨胀参数
expansion rate	膨胀率
expansion time-scale	膨胀时标
expectation value	期望值
expected value	期望值
experimental astronomy	实验天文学
explicit symmetry breaking	明显对称性破缺
exploding galaxy	爆发星系
exploding granule	爆发米粒
exploding prominence	爆发日珥
exploding star	爆发星
explosive era	爆发期
explosive flare	爆发耀斑
explosive galaxy	爆发星系
explosive instability	爆发不稳定性
explosive nucleosynthesis	爆发核合成
explosive phase	爆发相
explosive shower	爆炸簇射
explosive variable	爆发变星
expometer	曝光计
exponential atmosphere	指数式大气
exponential disk	指数盘
exponential potential	指数势
