1/f 噪声	1/f noise
条纹可见度谱	fringe-visibility spectrum
条纹图样	fringe pattern
条纹幅度	fringe amplitude
条纹率	fringe rate
条纹相位	fringe phase
条纹级	fringe order
条纹证认	fringe identification
条纹跟踪	fringe tracking
条纹跟踪器	fringe trackor
条纹间距	fringe separation; fringe spacing
条纹驻留	fringe stopping
条纹驻留中心	fringe stopping center
条纹驻留器	fringe stopper
条纹驻留系统	fringe stopping system
杨-米尔斯场	Yang-Mills field
杨利伟	Yangliwei
杨嘉墀	Yangjiachi
杨帆	Fanyang
杨振宁	Yangchenning
杨格非	Griffith John
杨注潮	Yeungchuchiu
杨环形山	Young crater
杭高	Hanggao
杰克逊环形山	Jackson crater
杰勒德环形山	Gerard crater
杰弗里斯环缝	Jeffreys Gap
杰敏卡伽马射线源	Geminga
杰敏卡脉冲星	Geminga Pulsar
杰武尔斯基坑链	Catena Dziewulski
杵二	Choo
松卷旋臂	loosely wound spiral arm; loosely wound arm
松原	Songyuan
松紧度	openness
板块构造	plate tectonics
板块结构	slab structure
板块运动	plate motion; plate movement
极三角形	polar triangle
极亮红外星系	全称：ultraluminous infrared galaxy。缩写：ULIRG
极值	extreme value; extremum
极值曲线	extremal curve
极光	aurora; polar glow; polar light
极光下点纬度	subaurural latitude
极光亚暴	auroral substorm
极光亮度	aurora brightness
极光冕	auroral corona; auroral crown
极光号	Aurora
极光喷流	auroral jet
极光嘘声	auroral hiss
极光带	auroral zone
极光弧	auroral arc
极光快照探测者	全称：Fast Auroral Snapshot Explorer。缩写：FAST
极光暴	auroral storm
极光电喷流	auroral electrojet
极光纬区	auroral latitude
极光谱线	auroral line
极光质子流量	auroral proton flux
极冠	polar cap
极冠吸收	全称：polar cap absorption。缩写：PCA
极冠隙	polar gap
极化张量	polarization tensor
极化矢量	polarization vector
极区	polar region
极区图	polar diagram
极区太阳风	polar solar wind; solar polar wind
极区日珥	polar prominence
极半径	polar radius; polar semi-diameter
极原点	polody origin
极向	pole-on
极向[磁]场	poloidal [magnetic] field
极向天体	pole-on object
极向定日镜	polar heliostat
极向恒星	pole-on star
极向扁率	polar flattening; polar oblateness
极向日晷	polar dial
极向赤道坐标	polar equatorial coordinate
极向迁移	poleward migration
极圈	polar circle; arctic circle
极地中层云	全称：polar mesospheric cloud。缩写：PMC
极坐标	polar coordinate
极夜	polar night
极大	maximum
极大似然估计	全称：maximum likelihood estimation。缩写：MLE
极大似然法	maximum likelihood method
极大前亮度	pre-maximum brightness
极大前光谱	pre-maximum spectrum
极大前息	pre-maximum halt
极大后光谱	post-maximum spectrum
极大后演化	post-maximum evolution
极大日冕	maximum corona
极大期日冕	maximum corona
极大活动性	maximum activity
极富金属星	extreme metal-rich star
极小	minimum
极小日冕	minimum corona
极小期日冕	minimum corona
极平面	polar plane
极年	polar year
极式装置	polar mounting
极性	polarity
极性反转	polarity reversal; reversal of polarity
极性变换线	polarity reversal line
极性周期	polar period
极性混合磁场	mixed-polarity magnetic field
极斑	polar spot
极早期宇宙	very early universe
极早期状态	earliest state
极星	polar star; pole star
极昼	polar day
极潮	polar tide
极环星系	polar-ring galaxy
极盖	polar cap
极直径	polar diameter
极移	motion of earth pole; polar motion; polar displacement; polar shift; polar wandering; wandering of the pole
极端克尔黑洞	extreme Kerr black hole
极端宇宙空间天文台	全称：Extreme Universe Space Observatory。缩写：EUSO
极端星族Ⅰ	arm population; extreme population Ⅰ
极端星族Ⅰ恒星	1、extreme Population I star; 2、extreme population Ⅰ star
极端星族Ⅱ	halo population; extreme population Ⅱ
极端氦星	extreme helium star
极端相对论性效应	super-relativistic effect
极端相对论性电子	ultra-relativistic electron
极端相对论性粒子	ultra-relativistic particle
极端碳星	extreme carbon star
极端自适应光学	全称：extreme adaptive optics。缩写：ExAO
极紫外	全称：extreme-ultraviolet。缩写：XUV; EUV
极紫外天文学	全称：extreme ultraviolet astronomy。缩写：XUV astronomy
极紫外射线	全称：Extreme ultraviolet light。缩写：XUV light; EUV light
极紫外探测器	全称：Extreme Ultra-Violet Explorer。缩写：EUVE
极紫外星	extreme-ultraviolet star
极紫外星系	extreme-ultraviolet galaxy
极紫外源	extreme-ultraviolet source
极紫外背景	extreme-ultraviolet background
极紫外背景辐射	extreme-ultraviolet background radiation
极紫外辐射	extreme-ultraviolet radiation
极红天体	全称：extremely red object。缩写：ERO
极羽	polar plume
极角	polar angle; polar cusp
极贫金属星	extreme metal-poor star
极超新星	全称：hypernova。缩写：HN
极距	1、codeclination; polar distance degrees; 2、polar distance
极轨卫星	polar satellite
极轨地球物理台	全称：Polar Orbiting Geophysical Observatory。缩写：POGO
极轨道	polar orbit
极轴	polar axis
极轴镜	polar telescope; polar scope
极辐射线	polar ray; polar streamer
极近相对论性电子	very relativistic electron
极限仿视星等	limiting photovisual magnitude
极限光电星等	limiting photoelectric magnitude
极限分辨率	limiting resolution
极限半径	limiting radius
极限星等	limiting magnitude
极限曝光时间	limiting exposure
极限流量	limiting flux
极限照相星等	limiting photographic magnitude
极限色散度	limiting dispersion
极限视星等	limiting apparent magnitude
极限频散度	limiting dispersion
极限频率	limiting frequency
极风	polar wind
极高光度X射线源	ultraluminous X-ray source
极黄纬	polar latitude
极黄经	polar longitude
构形空间	configuration space
构架	frame work
构造作用	tectonism
构造地质学	structural geology
构造层	tectosphere
构造运动	tectogenesis
析像扫描器	全称：image-dissector scanner。缩写：IDS
析像管	dissector; image dissector
析木	全称：Sagittarius。缩写：Sgr
枕形畸变	cushion distortion
林乐知	Young John Allen
林伯假说	Limber hypothesis
林伯方程	Limber equation
林则徐	Linzexu
林卫一	Romulus
林卫二	Remus
林庭年	Lintingnien
林德-温伯格约束	Linde-Weinberg bound
林德勒空间	Rindler space
林德布拉德共振	Lindblad resonance
林德布拉德半径	Lindblad radius
林德布拉德弥散轨道	Lindblad dispersion orbit
林德布拉德环	Lindblad's ring
林德布拉德环形山	Lindblad crater
林德斯塔方程	Lindstedt equation
林德瑙环形山	Lindenau crater
林忠四郎定理	Hayashi theorem
林忠四郎极限	Hayashi limit
林忠四郎模型	Hayashi model
林忠四郎线	Hayashi line
林忠四郎迹程	Hayashi track
林忠四郎阶段	Hayashi phase
林晨	Linchen
林百欣	Limporyen
林神星	Sylvia
林肯近地天体研究	全称：Lincoln Near-Earth Object Research。缩写：LINEAR
林茨暗星云表	Lynds catalogue
林超英	Lamchiuying
林青霞	Linchinghsia
果神星	Pomona
枢轴	pivotal axis
柏拉图年	Platonic year
柏拉图探测器	全称：PLAnetary Transits and Oscillations of stars。缩写：PLATO
柏拉图溪	Rimae Plato
柏拉图环形山	Plato crater
查刘璧如	Chaliubieju
查普尔环形山	Chappell crater
查普曼-儒居特爆炸	Chapman-Jouguet detonation
查普曼层	Chapman layer
查普曼方程	Chapman equation
查普曼环形山	Chapman crater
查理士环形山	Challis crater
查理定律	Charles' law
查瑞腾山脉	Charitum Montes
柯伊伯-埃奇沃思带	Kuiper-Edgeworth belt
柯伊伯带	Kuiper belt
柯伊伯带天体	全称：Kuiper belt object。缩写：KBO
柯伊伯星	Kuiper's star
柯伊伯机载天文台	全称：Kuiper Airborne Observatory。缩写：KAO
柯伊伯环缝	Kuiper Gap
柯伊伯盘	Kuiper disk
柯克伍德天文台	Kirkwood Observatory
柯克伍德环形山	Kirkwood crater
柯克伍德空隙	Kirkwood gap
柯尔施光学系统	Korsch system
柯朗条件	Courant condition
柯林机制	Cowling mechanism
柯林近似	Cowling approximation
柯瓦列夫斯卡娅环形山	Kovalevskaya crater
柯西分布	Cauchy distribution
柯西峭壁	Rupes Cauchy
柯西序列	Cauchy sequence
柯西溪	Rima Cauchy
柯西环形山	Cauchy crater
柯西色散公式	Cauchy's dispersion formula
柯西视界	Cauchy horizon
柯西轮廓	Cauchy profile
柯达光谱片	Kodak spectroscopic plate
柯达天文底片	Kodak astronomical plate
柯达底片	Kodak plate
柱一	Al Maaz
柱三	Hoedus Ⅱ
柱丰度	column abundance
柱二	Saclateni; Haedus; Hoedus I
柱体平衡	cylindrical equilibrium
柱坐标	cylindrical coordinate
柱坐标系	cylindrical coordinate system
柱密度	column density
柱形抛物面射电望远镜	cylindrical paraboloid radio telescope
柱面波	cylindrical wave
柱面透镜	cylindrical lens
柳宿	Willow
柳宿二	Al Minliar al Shuja
柳宿增三	Acubens
柳宿增十	Al Tarf
栅格	grid
栅格准直器	grid collimator
栅格化	gridding
栅环	grating ring
栅瓣	grating lobe
栅线间距	grating space
栅网	graticule
栅阵	grating array
栅阵响应	grating response
标准	etalon
标准位置	normal place
标准偏差	全称：standard deviation。缩写：s.d.
标准冷暗物质模型	全称：standard Cold Dark Matter model。缩写：sCDM model
标准化	standardization
标准化坐标	normalized coordinate
标准化烛光法	standardised candle method
标准单区模型	standard one-zone model
标准历元	standard epoch
标准哨音	standard siren
标准噪声发声器	standard source
标准地球	全称：standard earth。缩写：SE
标准坐标	standard coordinate
标准大气	standard atmosphere
标准天体照相仪	normal astrograph
标准天线	standard antenna
标准太阳模型	全称：standard solar model。缩写：SSM
标准子午线	standard meridian
标准子午面	standard meridian
标准宇宙学模型	standard model of cosmology
标准宇宙模型	standard cosmological model
标准尺	standard ruler
标准旋转椭球	standard spheroid
标准时	standard time; etalon time
标准时区	standard time-zone
标准时号	standard time-signal
标准时正午	standard noon
标准时间	normal time
标准时频	全称：standard frequency and time signal。缩写：SFTS
标准星	standard star
标准暴胀	standard inflation
标准模型	standard model
标准点纬度	normal latitude
标准烛光	standard candle
标准粒子物理模型	standard model of particle physics
标准系统	standard system
标准误差	全称：standard error。缩写：s.e.
标准频率	standard frequency; etalon frequency
标夸克	squark
标度不变性	scale-invariance
标度值	scale value
标度关系	scaling relation
标度因子	scale factor
标度星对	scale pair
标架丛	bundle frame
标称时刻	nominal time
标称误差	nominal error
标称频率	nominal frequency
标轻子	slepton
标量-张量引力	scalar-tensor gravity
标量-张量理论	scalar-tensor theory
标量中微子	sneutrino
标量位力定理	scalar virial theorem
标量势	scalar potential
标量场	scalar field
标量天线	scalar antenna
标量密度	scalar density
标量微波背景各向异性	scalar CMB anisotropy
标量扰动	scalar perturbation
标量曲率	scalar curvature
标量模	scalar mode
标量涨落	scalar fluctuation
标量费米子	sfermion
标长	scale length
标高	scale height
树算法	tree algorithm
校准	1、adjustment; 2、calibration
校准发生器	calibrating source
校准器	1、calibrator; 2、etalon
校准接收机	calibrating receiver
校准星	alignment star
校准源	standard source
校核水准测定	control levelling
校正螺旋	adjusting screw
样本量	sample size
样条拟合	spline fit
核主导类星体	全称：core-dominated quasar。缩写：CDQ
核乳胶	nuclear emulsion
核分光望远镜阵	全称：Nuclear Spectroscopic Telescope Array。缩写：NuSTAR
核区坍缩	core collapse
核区拟合法	core fitting method
核半径	core radius
核反应	nuclear reaction
核反应时标	nuclear time-scale
核合成	nucleosynthesis
核合成时期	nucleosynthesis era
核合成理论	theory of nucleosynthesis
核周产星	circumnuclear star formation
核周产星环	circumnuclear star-forming ring
核周盘	全称：circumnuclear disk。缩写：CND
核四极共振	全称：nuclear quadrupole resonance。缩写：NQR
核坍缩前身天体	core-collapse progenitor
核坍缩后星团	post-core-collapse cluster
核天体物理	nuclear astrophysics
核子	nucleon
核密度	nuclear density
核带	nucleus band
核年代测定	nucleochronology
核形成	nucleogenesis
核径迹乳胶	nuclear-track emulsion
核心坍缩超新星	core collapse supernova
核心星	nuclear star
核星团	nuclear star cluster
核星系	nucleus population
核晕星系	core-halo galaxy
核晕模型	core-halo model
核晕源	core-halo source
核活动	nuclear activity
核演化时标	nuclear evolution time
核燃烧	nuclear burning
核物理	nuclear physics
核物质	nuclear matter
核球	nuclear bulge; bulge
