1/f 噪声	1/f noise
[上气下云](读云)	nebulium
[上气下免]	coronium
[光]照度	illuminance; illumination; luminous flux density
[半人马]比邻星	Proxima Centauri
[太阳]系外γ射线源	extrasolar γ-ray source
[太阳]系外射电源	extrasolar radio source
[太阳]系外小行星带	exo-asteroid belt
[太阳]系外彗星	extrasolar comet; exocomet; exotic comet
[太阳]系外星风	exo-solar wind
[太阳]系外生命	extrasolar life
[引力]透镜光深	lensing optical depth
[引力]透镜天体	lensing object
[引力]透镜恒星	lensing star
[引力]透镜截面	lensing cross-section
[引力]透镜效应	lensing effect
[引力]透镜星系	lensing galaxy
[引力]透镜类星体	lensing quasar
[星系]团归一化	cluster normalization
[星系]团沉降	cluster infall
[月]海	mare
[月]湖	lacus
[木星]北北温带	全称：north north temperate belt。缩写：NNTB
[木星]北赤道带	全称：north equatorial belt。缩写：NEB
[美国]航天局红外望远镜	全称：NASA Infrared Telescope Facility。缩写：IRTF
[银河]核周盘	全称：Circumnuclear Disc。缩写：CND
ab型变星	ab variable
b三重线	b-lines
cD星系	全称：central-Dominated galaxy。缩写：cD galaxy
e 倍变化时间	e-folding time
e 倍变化长度	e-fold length
e 倍衰减时间	e-folding time
e 倍衰减长度	e-fold length
e 过程	e-process
e-叠数	e-folds
eROSITA巡天	extended ROentgen Survey with an Imaging Telescope Array
f数	f number
f模	f-mode
f求和定则	f-sum rule
f黑子	全称：following sunspot; following spot; trailer sunspot; trailer spot。缩写：f-spot
g因子	g-factor
g模	g-mode
j-j 耦合	j-j coupling
k+a星系	k+a galaxy
k暴胀	k-inflation
k质	k-essence
n 点相关函数	n-point correlation function
n体模拟	N-body simulation
n体问题	N-body problem; problem of n bodies
pep反应	全称：proton-electron-proton reaction。缩写：pep reaction
p模	p-mode
p膜	p brane
p黑子	全称：leading sunspot; preceding sunspot; preceding spot; leading spot。缩写：p-sunspot; p-spot
r过程	全称：rapid neutron capture process。缩写：r-process
s过程	全称：slow neutron capture process。缩写：s-process
uvby 颜色系统	uvby color system
uvby测光	uvby photometry
uvby系统	uvby system
uv平面	uv plane
v/r变星	v/r variable
Γ参数	Γ parameter
Γ点	Γ-point
Γ空间	Γ-space
Ξ超子	Ξ-hyperon
αβγ理论	α-β-γ theory
α黏度处理方法	α-viscosity prescription
β衰变	β decay; β disintegration
β衰变电子	β-decay electron
β跃迁	β transition
γ射线光度	γ-ray luminosity
γ射线分频	γ-ray spectroscopy
γ射线卫星	γ-ray satellite
γ射线发射	γ-ray emission
γ射线变源	variable γ-ray source
γ射线天图	γ-ray map
γ射线天文台	γ-ray observatory
γ射线天文学	γ-ray astronomy
γ射线天空	γ-ray sky
γ射线对应体	γ-ray counterpart
γ射线展源	extended γ-ray source
γ射线巡天	γ-ray survey
γ射线探测器	γ-ray detector
γ射线散射	γ-ray scattering
γ射线星	γ-ray star
γ射线暂现	γ-ray transient
γ射线暴	全称：γ-ray burst; Gamma-ray burst。缩写：GRB
γ射线暴源	γ-ray burster; γ-ray burst source
γ射线望远镜	γ-ray telescope
γ射线源	γ-ray source
γ射线背景	γ-ray background
γ射线脉冲星	γ-ray pulsar
γ射线观测	γ-ray observation
